Time,tavolaRotante._axisInterface.axisActualPosition,braccioSx._axisInterface.axisActualPosition,braccioDx._axisInterface.axisActualPosition,tavolaRotante._axisInterface.axisOn,tavolaRotante._axisInterface.axisReferenced,tavolaRotante._axisInterface.axisPos1,tavolaRotante._axisInterface.axisPos2,braccioSx._axisInterface.axisOn,braccioSx._axisInterface.axisReferenced,braccioSx._axisInterface.axisPos1,braccioSx._axisInterface.axisPos2,braccioSx._instGripper._gripperInterface.gripperOpened,braccioSx._instGripper._gripperInterface.gripperClosed,braccioDx._axisInterface.axisOn,braccioDx._axisInterface.axisReferenced,braccioDx._axisInterface.axisPos1,braccioDx._axisInterface.axisPos2,braccioDx._instGripper._gripperInterface.gripperOpened,braccioDx._instGripper._gripperInterface.gripperClosed,start
2024-05-08T16:52:57.8340154Z,269.999,4.9510000000000005,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:58.1340310Z,269.999,4.997,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:58.4340231Z,269.999,5,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:58.7341695Z,269.999,5,100,true,true,true,false,true,true,true,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:59.0340181Z,269.999,29.171,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:59.3341703Z,269.999,59.198,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:59.6340559Z,269.999,89.199,100,true,true,true,false,true,true,false,false,true,true,true,true,false,true,true,true,true
2024-05-08T16:52:59.9341218Z,269.999,100.048,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:00.2340544Z,269.999,100.002,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:00.5340123Z,269.999,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:00.8341409Z,269.999,100,100,true,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:01.1340474Z,293.668,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:01.4341325Z,323.698,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:01.7343358Z,353.699,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:02.0342908Z,23.7,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:02.3342955Z,53.7,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:02.6340632Z,83.7,100,100,true,true,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:02.9343738Z,90.031,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:03.2340766Z,90.001,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:03.5340471Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
2024-05-08T16:53:03.8340593Z,90,100,100,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,true
